trace,rt,color,button,fsr,note,auto_rt
EMG 1,45348.0,r,0.4240922927856445,0.0,inc,0.465
EMG 2,43346.0,r,0.3712494373321533,0.0,inc,0.441
EMG 3,0.0,r,0.0,0.0,,
EMG 4,0.0,r,0.0,0.0,,
EMG 5,0.0,r,0.0,0.0,,
EMG 6,0.0,r,0.0,0.0,,
EMG 7,0.0,r,0.0,0.0,,
EMG 8,0.0,r,0.0,0.0,,
EMG 9,0.0,r,0.0,0.0,,
EMG 10,0.0,r,0.0,0.0,,
EMG 11,0.0,r,0.0,0.0,,
EMG 12,0.0,r,0.0,0.0,,
EMG 13,0.0,r,0.0,0.0,,
EMG 14,0.0,r,0.0,0.0,,
EMG 15,0.0,r,0.0,0.0,,
EMG 16,0.0,r,0.0,0.0,,
EMG 17,0.0,r,0.0,0.0,,
EMG 18,0.0,r,0.0,0.0,,
EMG 19,0.0,r,0.0,0.0,,
EMG 20,0.0,r,0.0,0.0,,
EMG 21,0.0,r,0.0,0.0,,
EMG 22,0.0,r,0.0,0.0,,
EMG 23,0.0,r,0.0,0.0,,
EMG 24,0.0,r,0.0,0.0,,
EMG 25,0.0,r,0.0,0.0,,
EMG 26,0.0,r,0.0,0.0,,
EMG 27,0.0,r,0.0,0.0,,
EMG 28,0.0,r,0.0,0.0,,
EMG 29,0.0,r,0.0,0.0,,
EMG 30,0.0,r,0.0,0.0,,
EMG 31,0.0,r,0.0,0.0,,
EMG 32,0.0,r,0.0,0.0,,
EMG 33,0.0,r,0.0,0.0,,
EMG 34,0.0,r,0.0,0.0,,
EMG 35,0.0,r,0.0,0.0,,
EMG 36,0.0,r,0.0,0.0,,
EMG 37,0.0,r,0.0,0.0,,
